Glyph A,Glyph B,Name A,Name B,Group A,Group B,Marks A,Marks B,Magnitude Delta,Magnitude Result,Interaction Type,Signal A,Signal B
UI,O,ui,onn,backslash,diagonal,3,2,1,Modulation,Turbulence,Median Shift,Weak Current
UI,U,ui,ur,backslash,diagonal,3,3,0,Resonance,Turbulence,Median Shift,Median Stream
UI,E,ui,eadhadh,backslash,diagonal,3,4,1,Modulation,Turbulence,Median Shift,Strong Torrent
UI,I,ui,idad,backslash,diagonal,3,5,2,Dominance,Turbulence,Median Shift,Maximal Jet
UI,AE,ui,ae,backslash,backslash,3,1,2,Dominance,Phase Shift,Median Shift,Atomic Twist
UI,OI,ui,oi,backslash,backslash,3,2,1,Modulation,Phase Shift,Median Shift,Weak Vortex
UI,UI,ui,ui,backslash,backslash,3,3,0,Resonance,Phase Shift,Median Shift,Median Shift
UI,EA,ui,ea,backslash,backslash,3,4,1,Modulation,Phase Shift,Median Shift,Strong Warp
UI,IO,ui,io,backslash,backslash,3,5,2,Dominance,Phase Shift,Median Shift,Maximal Chaos
EA,B,ea,beith,backslash,right,4,1,3,Dominance,Distort,Strong Warp,Atomic Initiation
EA,L,ea,luis,backslash,right,4,2,2,Dominance,Distort,Strong Warp,Weak Coupling
EA,F,ea,fearn,backslash,right,4,3,1,Modulation,Distort,Strong Warp,Median Assertion
EA,S,ea,sail,backslash,right,4,4,0,Resonance,Distort,Strong Warp,Strong Enforcement
EA,P,ea,peith,backslash,right,4,5,1,Modulation,Distort,Strong Warp,Maximal Drive
EA,H,ea,huath,backslash,left,4,1,3,Dominance,Invert,Strong Warp,Atomic Reaction
EA,D,ea,duir,backslash,left,4,2,2,Dominance,Invert,Strong Warp,Weak Resistance
EA,T,ea,tinne,backslash,left,4,3,1,Modulation,Invert,Strong Warp,Median Balance
EA,C,ea,coll,backslash,left,4,4,0,Resonance,Invert,Strong Warp,Strong Barrier
EA,W,ea,ceirt,backslash,left,4,5,1,Modulation,Invert,Strong Warp,Maximal Opposition
EA,M,ea,muin,backslash,cross,4,1,3,Dominance,Fracture,Strong Warp,Atomic Bind
EA,G,ea,gort,backslash,cross,4,2,2,Dominance,Fracture,Strong Warp,Loose Knot
EA,N,ea,ngeadal,backslash,cross,4,3,1,Modulation,Fracture,Strong Warp,Median Lock
EA,Z,ea,straif,backslash,cross,4,4,0,Resonance,Fracture,Strong Warp,Strong Anchor
EA,R,ea,ruis,backslash,cross,4,5,1,Modulation,Fracture,Strong Warp,Maximal Fusion
EA,A,ea,ailm,backslash,diagonal,4,1,3,Dominance,Turbulence,Strong Warp,Atomic Flow
EA,O,ea,onn,backslash,diagonal,4,2,2,Dominance,Turbulence,Strong Warp,Weak Current
EA,U,ea,ur,backslash,diagonal,4,3,1,Modulation,Turbulence,Strong Warp,Median Stream
EA,E,ea,eadhadh,backslash,diagonal,4,4,0,Resonance,Turbulence,Strong Warp,Strong Torrent
EA,I,ea,idad,backslash,diagonal,4,5,1,Modulation,Turbulence,Strong Warp,Maximal Jet
EA,AE,ea,ae,backslash,backslash,4,1,3,Dominance,Phase Shift,Strong Warp,Atomic Twist
EA,OI,ea,oi,backslash,backslash,4,2,2,Dominance,Phase Shift,Strong Warp,Weak Vortex
EA,UI,ea,ui,backslash,backslash,4,3,1,Modulation,Phase Shift,Strong Warp,Median Shift
EA,EA,ea,ea,backslash,backslash,4,4,0,Resonance,Phase Shift,Strong Warp,Strong Warp
EA,IO,ea,io,backslash,backslash,4,5,1,Modulation,Phase Shift,Strong Warp,Maximal Chaos
IO,B,io,beith,backslash,right,5,1,4,Dominance,Distort,Maximal Chaos,Atomic Initiation
IO,L,io,luis,backslash,right,5,2,3,Dominance,Distort,Maximal Chaos,Weak Coupling
IO,F,io,fearn,backslash,right,5,3,2,Dominance,Distort,Maximal Chaos,Median Assertion
IO,S,io,sail,backslash,right,5,4,1,Modulation,Distort,Maximal Chaos,Strong Enforcement
IO,P,io,peith,backslash,right,5,5,0,Resonance,Distort,Maximal Chaos,Maximal Drive
IO,H,io,huath,backslash,left,5,1,4,Dominance,Invert,Maximal Chaos,Atomic Reaction
IO,D,io,duir,backslash,left,5,2,3,Dominance,Invert,Maximal Chaos,Weak Resistance
IO,T,io,tinne,backslash,left,5,3,2,Dominance,Invert,Maximal Chaos,Median Balance
IO,C,io,coll,backslash,left,5,4,1,Modulation,Invert,Maximal Chaos,Strong Barrier
IO,W,io,ceirt,backslash,left,5,5,0,Resonance,Invert,Maximal Chaos,Maximal Opposition
IO,M,io,muin,backslash,cross,5,1,4,Dominance,Fracture,Maximal Chaos,Atomic Bind
IO,G,io,gort,backslash,cross,5,2,3,Dominance,Fracture,Maximal Chaos,Loose Knot
IO,N,io,ngeadal,backslash,cross,5,3,2,Dominance,Fracture,Maximal Chaos,Median Lock
IO,Z,io,straif,backslash,cross,5,4,1,Modulation,Fracture,Maximal Chaos,Strong Anchor
IO,R,io,ruis,backslash,cross,5,5,0,Resonance,Fracture,Maximal Chaos,Maximal Fusion
IO,A,io,ailm,backslash,diagonal,5,1,4,Dominance,Turbulence,Maximal Chaos,Atomic Flow
IO,O,io,onn,backslash,diagonal,5,2,3,Dominance,Turbulence,Maximal Chaos,Weak Current
IO,U,io,ur,backslash,diagonal,5,3,2,Dominance,Turbulence,Maximal Chaos,Median Stream
IO,E,io,eadhadh,backslash,diagonal,5,4,1,Modulation,Turbulence,Maximal Chaos,Strong Torrent
IO,I,io,idad,backslash,diagonal,5,5,0,Resonance,Turbulence,Maximal Chaos,Maximal Jet
IO,AE,io,ae,backslash,backslash,5,1,4,Dominance,Phase Shift,Maximal Chaos,Atomic Twist
IO,OI,io,oi,backslash,backslash,5,2,3,Dominance,Phase Shift,Maximal Chaos,Weak Vortex
IO,UI,io,ui,backslash,backslash,5,3,2,Dominance,Phase Shift,Maximal Chaos,Median Shift
IO,EA,io,ea,backslash,backslash,5,4,1,Modulation,Phase Shift,Maximal Chaos,Strong Warp
IO,IO,io,io,backslash,backslash,5,5,0,Resonance,Phase Shift,Maximal Chaos,Maximal Chaos
